                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6364,                  4.018,                 1.1298,                0.00375,                0.33333,                0.03972,                0.03038,                 1.1183,                 3.6357,                 1.0058,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.5839,                 3.8586,                 1.1205,                0.00375,                0.33333,                 0.0374,                0.02847,                 1.0886,                 3.6009,                 1.0094,               0.097297,             0.00029703,             0.00029703
                      2,                 1.4088,                 3.8048,                 1.0618,                0.00417,                0.37037,                0.03487,                0.02555,                0.99585,                 3.5997,                0.98852,                0.09549,              0.0004901,              0.0004901
                      3,                 1.3383,                 3.7843,                 1.0033,                  0.005,                0.44444,                0.02395,                0.01963,                0.92619,                 3.5629,                0.96804,               0.093679,             0.00067921,             0.00067921
                      4,                 1.1771,                  3.779,                0.97775,                  0.005,                0.44444,                0.05025,                0.02731,                0.98882,                 3.5496,                0.96465,               0.091864,             0.00086436,             0.00086436
                      5,                0.95013,                  3.394,                0.94614,                0.00583,                0.51852,                0.05346,                0.02435,                0.97993,                 3.5791,                0.96264,               0.090046,              0.0010455,              0.0010455
                      6,                 1.2062,                 3.7336,                0.97039,                0.00625,                0.55556,                0.04748,                 0.0319,                0.87157,                 3.5323,                0.92753,               0.088223,              0.0012228,              0.0012228
                      7,                 1.1549,                 3.3382,                0.92978,                 0.0075,                0.66667,                0.04328,                0.01983,                0.95362,                  3.558,                0.99554,               0.086396,               0.001396,               0.001396
                      8,                 1.2712,                 3.1455,                0.94712,                 0.0075,                0.66667,                0.04601,                0.02253,                0.97309,                 3.5322,                0.96633,               0.084565,              0.0015654,              0.0015654
                      9,                0.92777,                 2.8509,                0.91674,                 0.0075,                0.66667,                0.05933,                0.04037,                0.91966,                 3.4999,                0.91471,               0.082731,              0.0017307,              0.0017307
                     10,                  1.269,                 2.8711,                 0.9511,                0.00833,                0.74074,                0.08125,                0.05785,                0.99252,                 3.4879,                0.92572,               0.080892,              0.0018921,              0.0018921
                     11,                 1.2055,                 2.7302,                0.95046,                0.00833,                0.74074,                0.10917,                0.07088,                 0.9345,                 3.4291,                0.92298,                0.07905,              0.0020495,              0.0020495
                     12,                 1.2698,                 2.5332,                0.94541,                0.00833,                0.74074,                0.09235,                0.06384,                0.90487,                 3.3833,                0.92201,               0.077203,               0.002203,               0.002203
